Lynn’s Block WS,Pressure On/Off,Soil Moisture 8 in,Soil Moisture 16 in,Soil Moisture 24 in,Soil Moisture 32 in,Soil Moisture 40 in,Soil Moisture 44 in,Soil Moisture 48 in
5/19/2020 3:00:00 PM,0,37.62,53.96,51.41,61.08,63.78,65.84,67.71
5/19/2020 2:00:00 PM,0,37.56,54.04,51.48,61.11,63.8,65.83,67.71
5/19/2020 1:00:00 PM,0,37.57,54.15,51.51,61.12,63.84,65.87,67.74
5/19/2020 12:00:00 PM,0,37.51,54.24,51.54,61.14,63.87,65.86,67.77
5/19/2020 11:00:00 AM,0,37.47,54.31,51.56,61.13,63.91,65.85,67.77
5/19/2020 10:00:00 AM,0,37.5,54.41,51.62,61.17,63.92,65.84,67.79
5/19/2020 9:00:00 AM,0,37.49,54.54,51.63,61.17,63.95,65.79,67.79
5/19/2020 8:00:00 AM,0,37.48,54.56,51.64,61.15,63.96,65.74,67.79
5/19/2020 7:00:00 AM,0,37.51,54.5,51.65,61.12,63.95,65.73,67.8
5/19/2020 6:00:00 AM,0,37.48,54.5,51.64,61.11,63.97,65.72,67.8
5/19/2020 5:00:00 AM,0,37.5,54.53,51.64,61.1,64,65.67,67.79
5/19/2020 4:00:00 AM,0,37.51,54.55,51.64,61.1,64.04,65.62,67.78
5/19/2020 3:00:00 AM,0,37.52,54.51,51.64,61.09,64.09,65.57,67.78
5/19/2020 2:00:00 AM,0,37.56,54.44,51.65,61.09,64.12,65.47,67.76
5/19/2020 1:00:00 AM,0,37.58,54.45,51.63,61.08,64.14,65.29,67.76
5/19/2020 12:00:00 AM,0,37.58,54.42,51.63,61.08,64.18,65.16,67.74
5/18/2020 11:00:00 PM,0,37.6,54.41,51.63,61.07,64.21,64.96,67.73
5/18/2020 10:00:00 PM,0,37.65,54.43,51.61,61.07,64.39,64.78,67.72
5/18/2020 9:00:00 PM,0,37.68,54.41,51.6,61.06,64.55,64.72,67.71
5/18/2020 8:00:00 PM,0,37.63,54.4,51.58,61.05,64.64,64.67,67.71
5/18/2020 7:00:00 PM,0,37.64,54.37,51.56,61.04,64.66,64.63,67.7
5/18/2020 6:00:00 PM,0,37.61,54.36,51.53,61.04,64.67,64.61,67.69
5/18/2020 5:00:00 PM,0,37.59,54.39,51.51,61.02,64.68,64.61,67.68
5/18/2020 4:00:00 PM,0,37.53,54.46,51.51,61.02,64.68,64.58,67.67
5/18/2020 3:00:00 PM,0,37.45,54.57,51.57,61.04,64.69,64.61,67.68
5/18/2020 2:00:00 PM,0,37.35,54.69,51.58,61.05,64.67,64.61,67.68
5/18/2020 1:00:00 PM,0,37.24,54.86,51.61,61.06,64.66,64.64,67.69
5/18/2020 12:00:00 PM,0,37.11,55.01,51.64,61.06,64.65,64.6,67.68
5/18/2020 11:00:00 AM,0,37.02,55.19,51.69,61.08,64.65,64.8,67.7
5/18/2020 10:00:00 AM,0,36.91,55.35,51.73,61.1,64.63,64.81,67.7
5/18/2020 9:00:00 AM,0,36.85,55.53,51.74,61.13,64.65,64.81,67.71
5/18/2020 8:00:00 AM,0,36.71,55.69,51.72,61.12,64.64,64.83,67.71
5/18/2020 7:00:00 AM,0,36.63,55.79,51.68,61.11,64.62,64.85,67.7
5/18/2020 6:00:00 AM,0,36.54,55.88,51.64,61.09,64.61,64.86,67.7
5/18/2020 5:00:00 AM,0,36.29,55.61,51.6,61.09,64.61,64.92,67.7
5/18/2020 4:00:00 AM,0,35.62,54.66,51.58,61.06,64.6,64.94,67.69
5/18/2020 3:00:00 AM,0,34.98,54.15,51.56,61.05,64.6,64.94,67.69
5/18/2020 2:00:00 AM,0,34.69,54.02,51.54,61.04,64.6,64.94,67.69
5/18/2020 1:00:00 AM,0,34.66,53.98,51.51,61.03,64.62,64.96,67.68
5/18/2020 12:00:00 AM,0,34.7,53.96,51.49,61.03,64.62,65.01,67.68
5/17/2020 11:00:00 PM,0,34.74,53.93,51.49,61.02,64.61,65.06,67.68
5/17/2020 10:00:00 PM,0,34.79,53.87,51.48,61.02,64.6,65.05,67.66
5/17/2020 9:00:00 PM,0,34.78,53.81,51.47,61.01,64.55,65.04,67.66
5/17/2020 8:00:00 PM,0,34.83,53.77,51.42,60.99,64.52,65.07,67.65
5/17/2020 7:00:00 PM,0,34.85,53.76,51.39,60.97,64.5,65.11,67.63
5/17/2020 6:00:00 PM,0,34.87,53.75,51.4,60.98,64.51,65.18,67.63
5/17/2020 5:00:00 PM,0,34.84,53.79,51.4,61,64.51,65.37,67.63
5/17/2020 4:00:00 PM,0,34.81,53.85,51.45,61.01,64.53,65.52,67.64
5/17/2020 3:00:00 PM,0,34.71,53.98,51.52,61.05,64.54,65.7,67.65
5/17/2020 2:00:00 PM,0,34.66,54.07,51.54,61.07,64.6,65.85,67.67
5/17/2020 1:00:00 PM,0,34.6,54.16,51.62,61.13,64.61,66.03,67.68
5/17/2020 12:00:00 PM,0,34.61,54.23,51.68,61.16,64.63,66.15,67.69
5/17/2020 11:00:00 AM,0,34.56,54.31,51.69,61.18,64.66,66.2,67.71
5/17/2020 10:00:00 AM,0,34.47,54.38,51.69,61.18,64.66,66.25,67.71
5/17/2020 9:00:00 AM,0,34.41,54.4,51.69,61.2,64.67,66.27,67.71
5/17/2020 8:00:00 AM,0,34.38,54.4,51.66,61.18,64.68,66.28,67.71
5/17/2020 7:00:00 AM,0,34.29,54.38,51.61,61.17,64.65,66.28,67.71
5/17/2020 6:00:00 AM,0,34.11,54.36,51.62,61.17,64.68,66.29,67.7
5/17/2020 5:00:00 AM,0,33.9,54.35,51.6,61.16,64.67,66.3,67.69
5/17/2020 4:00:00 AM,0,33.91,54.32,51.55,61.16,64.67,66.32,67.69
5/17/2020 3:00:00 AM,0,33.92,54.31,51.52,61.16,64.66,66.31,67.68
5/17/2020 2:00:00 AM,0,33.87,54.28,51.48,61.13,64.65,66.32,67.68
5/17/2020 1:00:00 AM,0,33.8,54.25,51.43,61.12,64.64,66.33,67.68
5/17/2020 12:00:00 AM,0,33.7,54.18,51.39,61.09,64.66,66.32,67.68
5/16/2020 11:00:00 PM,0,33.57,54.04,51.37,61.06,64.64,66.33,67.66
5/16/2020 10:00:00 PM,0,33.44,53.81,51.37,61.05,64.64,66.34,67.66
5/16/2020 9:00:00 PM,0,33.38,53.72,51.33,61.03,64.65,66.34,67.65
5/16/2020 8:00:00 PM,0,33.43,53.62,51.31,61.02,64.69,66.34,67.64
5/16/2020 7:00:00 PM,0,33.44,53.55,51.28,61.01,64.69,66.34,67.63
5/16/2020 6:00:00 PM,0,33.44,53.48,51.27,61,64.69,66.35,67.6
5/16/2020 5:00:00 PM,0,33.43,53.46,51.28,61,64.71,66.36,67.55
5/16/2020 4:00:00 PM,0,33.38,53.46,51.31,61.03,64.73,66.38,67.54
5/16/2020 3:00:00 PM,0,33.3,53.52,51.39,61.03,64.78,66.39,67.54
5/16/2020 2:00:00 PM,0,33.21,53.64,51.46,61.11,64.82,66.42,67.55
5/16/2020 1:00:00 PM,0,33.17,53.77,51.55,61.16,64.87,66.47,67.57
5/16/2020 12:00:00 PM,0,33.12,53.89,51.62,61.18,64.89,66.5,67.53
5/16/2020 11:00:00 AM,0,33.12,53.96,51.69,61.21,64.91,66.52,67.46
5/16/2020 10:00:00 AM,0,33.13,54.08,51.76,61.29,64.95,66.55,67.43
5/16/2020 9:00:00 AM,0,33.13,54.16,51.79,61.31,64.97,66.56,67.46
5/16/2020 8:00:00 AM,0,33.1,54.2,51.81,61.32,64.98,66.57,67.52
5/16/2020 7:00:00 AM,0,33.16,54.22,51.81,61.32,64.99,66.58,67.54
5/16/2020 6:00:00 AM,0,33.18,54.21,51.85,61.32,64.99,66.57,67.54
5/16/2020 5:00:00 AM,0,33.24,54.18,51.84,61.31,64.99,66.58,67.65
5/16/2020 4:00:00 AM,0,33.27,54.18,51.83,61.31,65,66.58,67.65
5/16/2020 3:00:00 AM,0,33.34,54.11,51.8,61.31,64.99,66.57,67.65
5/16/2020 2:00:00 AM,0,33.37,54.08,51.74,61.31,64.99,66.57,67.66
5/16/2020 1:00:00 AM,0,33.41,54.07,51.72,61.31,65,66.57,67.66
5/16/2020 12:00:00 AM,0,33.47,53.99,51.66,61.31,64.99,66.57,67.68
5/15/2020 11:00:00 PM,0,33.52,53.92,51.63,61.31,64.99,66.57,67.69
5/15/2020 10:00:00 PM,0,33.57,53.85,51.6,61.3,64.96,66.57,67.69
5/15/2020 9:00:00 PM,0,33.63,53.84,51.51,61.31,64.95,66.56,67.7
5/15/2020 8:00:00 PM,0,33.65,53.75,51.38,61.3,64.91,66.56,67.7
5/15/2020 7:00:00 PM,0,33.61,53.63,51.29,61.3,64.9,66.56,67.69
5/15/2020 6:00:00 PM,0,33.63,53.57,51.2,61.29,64.88,66.56,67.68
5/15/2020 5:00:00 PM,0,33.61,53.54,51.2,61.29,64.85,66.57,67.67
5/15/2020 4:00:00 PM,0,33.52,53.55,51.21,61.32,64.77,66.59,67.68
5/15/2020 3:00:00 PM,0,33.39,53.61,51.26,61.35,64.76,66.62,67.69
5/15/2020 2:00:00 PM,0,33.27,53.7,51.32,61.41,64.73,66.66,67.7
5/15/2020 1:00:00 PM,0,33.2,53.82,51.38,61.46,64.7,66.67,67.72
5/15/2020 12:00:00 PM,0,33.11,53.93,51.43,61.46,64.68,66.68,67.74
5/15/2020 11:00:00 AM,0,33.02,54.05,51.5,61.47,64.64,66.71,67.77
5/15/2020 10:00:00 AM,0,33.02,54.14,51.56,61.52,64.65,66.72,67.8
5/15/2020 9:00:00 AM,0,33.02,54.24,51.63,61.52,64.65,66.73,67.81
5/15/2020 8:00:00 AM,0,33.01,54.28,51.63,61.54,64.55,66.74,67.82
5/15/2020 7:00:00 AM,0,33.07,54.29,51.62,61.57,64.42,66.74,67.81
5/15/2020 6:00:00 AM,0,33.07,54.29,51.6,61.56,64.35,66.73,67.81
5/15/2020 5:00:00 AM,0,33.12,54.27,51.6,61.54,64.32,66.73,67.81
5/15/2020 4:00:00 AM,0,33.13,54.27,51.6,61.51,64.3,66.72,67.79
5/15/2020 3:00:00 AM,0,33.18,54.26,51.6,61.49,64.31,66.72,67.8
5/15/2020 2:00:00 AM,0,33.19,54.23,51.61,61.49,64.29,66.7,67.78
5/15/2020 1:00:00 AM,0,33.21,54.19,51.61,61.49,64.24,66.69,67.76
5/15/2020 12:00:00 AM,0,33.25,54.14,51.62,61.48,64.26,66.68,67.75
5/14/2020 11:00:00 PM,0,33.28,54.11,51.63,61.48,64.26,66.67,67.75
5/14/2020 10:00:00 PM,0,33.28,54.07,51.63,61.49,64.27,66.67,67.74
5/14/2020 9:00:00 PM,0,33.29,54.01,51.62,61.48,64.26,66.66,67.73
5/14/2020 8:00:00 PM,0,33.29,53.97,51.58,61.48,64.29,66.66,67.72
5/14/2020 7:00:00 PM,0,33.31,53.92,51.58,61.48,64.27,66.65,67.72
5/14/2020 6:00:00 PM,0,33.29,53.87,51.65,61.47,64.27,66.66,67.71
5/14/2020 5:00:00 PM,0,33.29,53.87,51.73,61.47,64.27,66.66,67.71
5/14/2020 4:00:00 PM,0,33.25,53.94,51.82,61.5,64.27,66.67,67.71
5/14/2020 3:00:00 PM,0,33.21,54,51.88,61.53,64.29,66.66,67.71
5/14/2020 2:00:00 PM,0,33.16,54.09,51.92,61.57,64.37,66.68,67.72
5/14/2020 1:00:00 PM,0,33.14,54.08,51.95,61.63,64.38,66.69,67.73
5/14/2020 12:00:00 PM,0,33.11,54.16,52.01,61.63,64.38,66.71,67.74
5/14/2020 11:00:00 AM,0,33.12,54.27,52.08,61.65,64.46,66.72,67.76
5/14/2020 10:00:00 AM,0,33.12,54.3,52.13,61.67,64.48,66.74,67.78
5/14/2020 9:00:00 AM,0,33.1,54.39,52.16,61.66,64.48,66.74,67.78
5/14/2020 8:00:00 AM,0,33.11,54.43,52.14,61.65,64.53,66.74,67.78
5/14/2020 7:00:00 AM,0,33.15,54.44,52.13,61.64,64.57,66.73,67.77
5/14/2020 6:00:00 AM,0,33.15,54.42,52.14,61.62,64.6,66.74,67.76
5/14/2020 5:00:00 AM,0,33.18,54.39,52.15,61.63,64.63,66.72,67.75
5/14/2020 4:00:00 AM,0,33.2,54.39,52.16,61.64,64.67,66.72,67.74
5/14/2020 3:00:00 AM,0,33.23,54.39,52.16,61.63,64.6,66.72,67.73
5/14/2020 2:00:00 AM,0,33.26,54.38,52.17,61.63,64.64,66.71,67.72
5/14/2020 1:00:00 AM,0,33.26,54.36,52.17,61.62,64.63,66.71,67.72
5/14/2020 12:00:00 AM,0,33.31,54.36,52.15,61.62,64.68,66.71,67.7
5/13/2020 11:00:00 PM,0,33.33,54.35,52.11,61.62,64.7,66.71,67.7
5/13/2020 10:00:00 PM,0,33.34,54.33,52.1,61.62,64.69,66.7,67.69
5/13/2020 9:00:00 PM,0,33.36,54.31,52.11,61.61,64.71,66.71,67.68
5/13/2020 8:00:00 PM,0,33.36,54.29,52.11,61.6,64.69,66.71,67.67
5/13/2020 7:00:00 PM,0,33.36,54.24,52.1,61.59,64.68,66.7,67.66
5/13/2020 6:00:00 PM,0,33.38,54.19,52.06,61.57,64.68,66.71,67.67
5/13/2020 5:00:00 PM,0,33.38,54.19,52.06,61.55,64.66,66.72,67.66
5/13/2020 4:00:00 PM,0,33.39,54.23,52.09,61.53,64.64,66.72,67.65
5/13/2020 3:00:00 PM,0,33.36,54.23,52.1,61.53,64.65,66.72,67.61
5/13/2020 2:00:00 PM,0,33.33,54.23,52.12,61.54,64.66,66.73,67.57
5/13/2020 1:00:00 PM,0,33.33,54.31,52.15,61.56,64.69,66.74,67.55
5/13/2020 12:00:00 PM,0,33.32,54.39,52.19,61.59,64.7,66.75,67.54
5/13/2020 11:00:00 AM,0,33.3,54.49,52.24,61.61,64.72,66.78,67.42
5/13/2020 10:00:00 AM,0,33.32,54.53,52.26,61.63,64.75,66.79,67.32
5/13/2020 9:00:00 AM,0,33.32,54.53,52.27,61.65,64.73,66.81,67.23
5/13/2020 8:00:00 AM,0,33.33,54.6,52.27,61.65,64.76,66.81,67.2
5/13/2020 7:00:00 AM,0,33.37,54.64,52.28,61.65,64.83,66.79,67.19
5/13/2020 6:00:00 AM,0,33.42,54.7,52.29,61.65,64.88,66.8,67.11
5/13/2020 5:00:00 AM,0,33.43,54.67,52.28,61.65,64.92,66.78,66.95
5/13/2020 4:00:00 AM,0,33.47,54.63,52.29,61.65,64.94,66.77,66.78
5/13/2020 3:00:00 AM,0,33.55,54.58,52.29,61.64,64.99,66.77,66.67
5/13/2020 2:00:00 AM,0,33.58,54.56,52.29,61.64,65.01,66.76,66.58
5/13/2020 1:00:00 AM,0,33.59,54.54,52.28,61.64,65.05,66.76,66.52
5/13/2020 12:00:00 AM,0,33.63,54.51,52.28,61.63,65.08,66.75,66.48
5/12/2020 11:00:00 PM,0,33.67,54.49,52.28,61.63,65.08,66.75,66.36
5/12/2020 10:00:00 PM,0,33.73,54.46,52.28,61.63,65.09,66.75,66.32
5/12/2020 9:00:00 PM,0,33.73,54.41,52.27,61.63,65.09,66.73,66.27
5/12/2020 8:00:00 PM,0,33.77,54.39,52.26,61.61,65.1,66.73,66.27
5/12/2020 7:00:00 PM,0,33.78,54.37,52.26,61.61,65.1,66.72,66.29
5/12/2020 6:00:00 PM,0,33.79,54.34,52.27,61.61,65.11,66.73,66.32
5/12/2020 5:00:00 PM,0,33.78,54.34,52.3,61.63,65.12,66.73,66.33
5/12/2020 4:00:00 PM,0,33.8,54.37,52.34,61.64,65.14,66.74,66.36
5/12/2020 3:00:00 PM,0,33.78,54.48,52.37,61.66,65.16,66.73,66.41
5/12/2020 2:00:00 PM,0,33.74,54.58,52.3,61.68,65.18,66.74,66.52
5/12/2020 1:00:00 PM,0,33.71,54.71,52.33,61.7,65.18,66.76,66.55
5/12/2020 12:00:00 PM,0,33.66,54.82,52.41,61.72,65.19,66.78,66.57
5/12/2020 11:00:00 AM,0,33.66,54.9,52.44,61.74,65.2,66.81,66.56
5/12/2020 10:00:00 AM,0,33.65,55.02,52.47,61.74,65.2,66.82,66.62
5/12/2020 9:00:00 AM,0,33.65,55.11,52.49,61.74,65.2,66.81,66.65
5/12/2020 8:00:00 AM,0,33.65,55.16,52.49,61.74,65.2,66.78,66.68
5/12/2020 7:00:00 AM,0,33.68,55.18,52.49,61.73,65.19,66.76,66.7
5/12/2020 6:00:00 AM,0,33.72,55.2,52.49,61.72,65.2,66.74,66.74
5/12/2020 5:00:00 AM,0,33.71,55.23,52.48,61.72,65.2,66.7,66.92
5/12/2020 4:00:00 AM,0,33.73,55.14,52.48,61.7,65.19,66.68,66.94
5/12/2020 3:00:00 AM,0,33.75,55.15,52.48,61.69,65.18,66.68,66.93
5/12/2020 2:00:00 AM,0,33.77,55.18,52.48,61.67,65.17,66.64,67.19
5/12/2020 1:00:00 AM,0,33.75,55.19,52.47,61.67,65.16,66.65,67.28
5/12/2020 12:00:00 AM,0,33.74,55.15,52.46,61.66,65.14,66.65,67.31
5/11/2020 11:00:00 PM,0,33.74,55.17,52.45,61.65,65.13,66.61,67.44
5/11/2020 10:00:00 PM,0,33.72,55.18,52.44,61.64,65.14,66.55,67.45
5/11/2020 9:00:00 PM,0,33.72,55.1,52.42,61.63,65.15,66.53,67.42
5/11/2020 8:00:00 PM,0,33.6,54.93,52.41,61.6,65.16,66.5,67.41
5/11/2020 7:00:00 PM,0,33.28,54.79,52.41,61.6,65.15,66.42,67.4
5/11/2020 6:00:00 PM,0,33.12,54.71,52.37,61.57,65.18,66.41,67.39
5/11/2020 5:00:00 PM,0,33.08,54.67,52.34,61.55,65.17,66.41,67.39
5/11/2020 4:00:00 PM,0,33.08,54.66,52.32,61.54,65.16,66.4,67.38
5/11/2020 3:00:00 PM,0,33.11,54.66,52.32,61.53,65.17,66.4,67.38
5/11/2020 2:00:00 PM,0,33.07,54.67,52.32,61.53,65.18,66.4,67.37
5/11/2020 1:00:00 PM,0,33.06,54.74,52.34,61.53,65.19,66.41,67.38
5/11/2020 12:00:00 PM,0,33.03,54.77,52.37,61.54,65.2,66.43,67.38
5/11/2020 11:00:00 AM,0,33.02,54.9,52.44,61.56,65.21,66.46,67.39
5/11/2020 10:00:00 AM,0,33.02,55.03,52.5,61.58,65.23,66.5,67.4
5/11/2020 9:00:00 AM,0,33.09,55.07,52.55,61.6,65.25,66.52,67.41
5/11/2020 8:00:00 AM,0,33.15,55.12,52.57,61.61,65.26,66.52,67.41
5/11/2020 7:00:00 AM,0,33.19,55.18,52.58,61.61,65.26,66.53,67.41
5/11/2020 6:00:00 AM,0,33.26,55.16,52.57,61.63,65.26,66.54,67.41
5/11/2020 5:00:00 AM,0,33.33,55.14,52.56,61.65,65.25,66.54,67.41
5/11/2020 4:00:00 AM,0,33.4,55.12,52.55,61.68,65.25,66.52,67.39
5/11/2020 3:00:00 AM,0,33.44,55.08,52.59,61.69,65.25,66.46,67.38
5/11/2020 2:00:00 AM,0,33.49,55.04,52.59,61.68,65.24,66.47,67.36
5/11/2020 1:00:00 AM,0,33.54,54.99,52.58,61.69,65.26,66.55,67.34
5/11/2020 12:00:00 AM,0,33.57,54.91,52.56,61.68,65.28,66.54,67.3
5/10/2020 11:00:00 PM,0,33.63,54.87,52.58,61.68,65.29,66.46,67.25
5/10/2020 10:00:00 PM,0,33.66,54.86,52.54,61.68,65.28,66.46,67.2
5/10/2020 9:00:00 PM,0,33.69,54.76,52.51,61.67,65.29,66.45,67.12
5/10/2020 8:00:00 PM,0,33.75,54.64,52.49,61.64,65.28,66.45,67.07
5/10/2020 7:00:00 PM,0,33.77,54.55,52.47,61.6,65.28,66.43,67.06
5/10/2020 6:00:00 PM,0,33.73,54.53,52.44,61.59,65.29,66.44,67.05
5/10/2020 5:00:00 PM,0,33.74,54.53,52.48,61.58,65.3,66.52,67.07
5/10/2020 4:00:00 PM,0,33.7,54.58,52.52,61.58,65.31,66.58,67.04
5/10/2020 3:00:00 PM,0,33.65,54.68,52.56,61.59,65.34,66.63,67.04
5/10/2020 2:00:00 PM,0,33.58,54.82,52.64,61.61,65.37,66.72,67.07
5/10/2020 1:00:00 PM,0,33.55,54.97,52.7,61.65,65.38,66.77,67.1
5/10/2020 12:00:00 PM,0,33.51,55.08,52.77,61.7,65.4,66.81,67.1
5/10/2020 11:00:00 AM,0,33.46,55.12,52.82,61.72,65.41,66.78,67.13
5/10/2020 10:00:00 AM,0,33.46,55.26,52.91,61.74,65.42,66.79,67.15
5/10/2020 9:00:00 AM,0,33.53,55.35,52.99,61.74,65.44,66.79,67.16
5/10/2020 8:00:00 AM,0,33.55,55.4,53.03,61.76,65.45,66.81,67.17
5/10/2020 7:00:00 AM,0,33.62,55.41,53.02,61.78,65.45,66.81,67.12
5/10/2020 6:00:00 AM,0,33.67,55.41,53.01,61.8,65.45,66.82,66.97
5/10/2020 5:00:00 AM,0,33.71,55.38,52.97,61.82,65.44,66.84,66.89
5/10/2020 4:00:00 AM,0,33.76,55.36,52.96,61.82,65.43,66.83,66.89
5/10/2020 3:00:00 AM,0,33.78,55.3,52.93,61.81,65.44,66.82,66.88
5/10/2020 2:00:00 AM,0,33.85,55.23,52.91,61.79,65.41,66.82,66.82
5/10/2020 1:00:00 AM,0,33.88,55.23,52.87,61.76,65.42,66.79,66.82
5/10/2020 12:00:00 AM,0,33.97,55.18,52.83,61.75,65.42,66.74,66.79
5/9/2020 11:00:00 PM,0,34.01,55.06,52.82,61.75,65.42,66.71,66.78
5/9/2020 10:00:00 PM,0,34.07,55.01,52.81,61.73,65.45,66.69,66.8
5/9/2020 9:00:00 PM,0,34.14,54.92,52.77,61.76,65.47,66.8,66.83
5/9/2020 8:00:00 PM,0,34.19,54.79,52.73,61.74,65.46,66.84,66.8
5/9/2020 7:00:00 PM,0,34.19,54.7,52.72,61.74,65.48,66.89,66.75
5/9/2020 6:00:00 PM,0,34.17,54.68,52.72,61.75,65.51,66.95,66.73
5/9/2020 5:00:00 PM,0,34.15,54.73,52.74,61.75,65.51,67.01,66.73
5/9/2020 4:00:00 PM,0,34.1,54.83,52.77,61.77,65.51,67.04,66.72
